,Name,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neutral,roberta_pos,Stars,Title,Date,Description
39,Lorri,0.0,0.3,0.7,0.7906,0.008933729492127895,0.09959794580936432,0.8914682865142822,5,"5.0 out of 5 stars
Great phone",29/06/2024,Good Quality overall great price
40,Andres,0.0,0.734,0.266,0.6115,0.0016183494590222836,0.016437362879514694,0.9819443225860596,5,"5.0 out of 5 stars
10-10",14/06/2024,iPhone 15 pro maxMinor scratches I’m very happy with this phone 10-10
41,Michel Cabrera,0.0,0.803,0.197,0.5704,0.002692784648388624,0.033331405371427536,0.9639757871627808,5,"5.0 out of 5 stars
Excelent product",26/05/2024,"Batery came with 100%. As per new, only a very little scratch but imperceptible. I really recommend it."
42,Victoria Reyes,0.058,0.942,0.0,-0.296,0.049019571393728256,0.389954149723053,0.5610263347625732,5,"5.0 out of 5 stars
Sin rayones y en excelente estado",6/6/2024,"The media could not be loaded.
                



Lo único que vino de ESIM y no lo decía en la característica pero solo fui a la empresa con mi sim y me dieron mi ESIM con mi mismo número.Escribo desde Panamá ❤️"
43,David Jaime,0.0,0.645,0.355,0.5927,0.01695091649889946,0.2776934504508972,0.7053555846214294,3,"3.0 out of 5 stars
iPhone 15 pro Max",26/06/2024,A little scratched but the rest in good condition
44,jeff,0.0,0.812,0.188,0.6988,0.027008021250367165,0.1399359405040741,0.8330560922622681,5,"5.0 out of 5 stars
Great seller",14/02/2024,"Although the phone didn’t work out for me, the seller gave me a refund the day after receiving it back, which is unheard of!Would definitely recommend this seller!"
45,Michael,0.0,1.0,0.0,0.0,0.922816812992096,0.07161985337734222,0.005563299171626568,4,"4.0 out of 5 stars
Phone charger",11/4/2024,The charger for the phone was not working
46,Hamlet Perez,0.0,0.778,0.222,0.6115,0.002168054925277829,0.014636814594268799,0.9831951260566711,5,"5.0 out of 5 stars
Excellent conditions",26/01/2024,"Very happy with my purchase, received exactly what the description sent. Fast response and shipping.Thanks"
47,Stormie Jamison,0.0,0.42,0.58,0.8519,0.0019993672613054514,0.01030679326504469,0.9876937866210938,5,"5.0 out of 5 stars
Buy again",12/12/2023,I love it came in a great condition and everything
48,Emmanuel,0.0,0.414,0.586,0.9344,0.0019430243410170078,0.00733226491138339,0.9907247424125671,5,"5.0 out of 5 stars
Good deal",20/06/2024,Very good product. I love it. Great value for the money and it is A++++
49,Susaney,0.412,0.588,0.0,-0.5994,0.008222009986639023,0.09753766655921936,0.8942403197288513,5,"5.0 out of 5 stars
Awesome phone",12/3/2024,No problems and it looks and feels brand new
50,Silvia Escalera,0.0,0.463,0.537,0.9148,0.0015424743760377169,0.007275003008544445,0.9911825656890869,5,"5.0 out of 5 stars
Excelente",4/7/2024,"I loved it as described, it is in excellent condition and works very well, thank you"
51,J. Cox,0.204,0.796,0.0,-0.9337,0.9455466270446777,0.049289949238300323,0.005163375288248062,1,"1.0 out of 5 stars
Broken Baseband",11/6/2024,"I purchased an iPhone 15 pro max 256 GB blue titanium. When I tried activating it the wait was so long, I was told something was wrong with the device. After hours of storing and updating, i was getting the same message. I did some research that showed that the device has a broken baseband which shows the error in the picture i took. A broken baseband renders the device useless.Very disappointed."
52,Keith,0.062,0.805,0.133,0.5423,0.02537226676940918,0.08654174208641052,0.8880859613418579,5,"5.0 out of 5 stars
3 minor scratches, good quality",4/5/2024,"I ordered a iphone 14 pro max with another seller, and it was in poor shape, despite being labeled ""excellent"".The iphone 15 pro max came with 3 light scratches, 100% battery life and in good working order for 33% off full retail.I'm happy with this purchase."
53,Francisco Melchor,0.0,0.448,0.552,0.5719,0.010221000760793686,0.10170622169971466,0.8880728483200073,5,"5.0 out of 5 stars
Nice",28/03/2024,Works perfect as described
54,Amazon Customer,0.085,0.795,0.12,0.1479,0.5193420052528381,0.33091607689857483,0.14974193274974823,2,"2.0 out of 5 stars
Pantalla súper rayada",17/05/2024,"The description calls it excellent condition but the screen has too many scratches, it works very well. The delivery time was exact but the screen issue is a little disappointing, if I could I would return it but I'm outside the US"
55,yennifer watkins,0.0,0.78,0.22,0.8873,0.0016591771272942424,0.01748625561594963,0.9808546304702759,4,"4.0 out of 5 stars
Like New",23/12/2023,"Phone looks brand new, came with a charger and screen protector as well. Price could be a bit cheaper since it’s refurbished but overall it was a good purchase. Phone was shipped and arrived quicker than I thought and I’m overall happy with it."
56,haidi,0.0,0.626,0.374,0.3384,0.004366083070635796,0.09513093531131744,0.9005030393600464,5,"5.0 out of 5 stars
Product holds up very well",24/05/2024,Product holds up very well
57,Kindle Customer,0.0,0.823,0.177,0.4199,0.0015899434220045805,0.03989515081048012,0.9585148692131042,5,"5.0 out of 5 stars
Came in amazing condition",14/05/2024,It was basically brand new with a 100% battery capacity. I recommend buying from these guys!
58,A,0.218,0.495,0.287,0.1779,0.013124208897352219,0.1208377331495285,0.8660380244255066,5,"5.0 out of 5 stars
Performance",27/05/2024,Good quality and no issue at all.
59,Jeco,0.056,0.714,0.229,0.7777,0.0034080096520483494,0.01696982979774475,0.9796221256256104,5,"5.0 out of 5 stars
Great Phone!",9/4/2024,"Great phone! With a few cosmetic scratches, the phone worked well like it’s new from the box. 100% battery life, still has factory warranty, no issues so far. First time buying from Networkstore"
60,Tony Kiwanna,0.0,0.511,0.489,0.9531,0.0020094676874578,0.009057069197297096,0.9889334440231323,5,"5.0 out of 5 stars
Awesome Iphone!",30/01/2024,"Believe everything you've heard from reviewers, that is the good...this is one terrific phone, i was very impressed, YES Apples best phone Yet..Highly recommend!"
